Search_method Problem Max_evals Run Score
rand_reset_10_times knapPI_11_200_1000_4 300000 14 0
rand_reset_10_times knapPI_11_200_1000_4 300000 15 0
rand_reset_10_times knapPI_11_200_1000_4 300000 16 0
rand_reset_10_times knapPI_11_200_1000_4 300000 17 0
rand_reset_10_times knapPI_11_200_1000_4 300000 18 0
rand_reset_10_times knapPI_11_200_1000_4 300000 19 0
rand_reset_10_times knapPI_11_200_1000_4 300000 20 0
rand_reset_10_times knapPI_11_200_1000_4 300000 21 0
rand_reset_10_times knapPI_11_200_1000_4 300000 22 0
rand_reset_10_times knapPI_11_200_1000_4 300000 23 0
rand_reset_10_times knapPI_11_200_1000_4 300000 24 0
rand_reset_10_times knapPI_11_200_1000_4 300000 25 0
rand_reset_10_times knapPI_11_200_1000_4 300000 26 0
rand_reset_10_times knapPI_11_200_1000_4 300000 27 0
rand_reset_10_times knapPI_11_200_1000_4 300000 28 0
rand_reset_10_times knapPI_11_200_1000_4 300000 29 0
rand_reset_10_times knapPI_13_200_1000_4 300000 0 0
rand_reset_10_times knapPI_13_200_1000_4 300000 1 0
rand_reset_10_times knapPI_13_200_1000_4 300000 2 0
rand_reset_10_times knapPI_13_200_1000_4 300000 3 0
rand_reset_10_times knapPI_13_200_1000_4 300000 4 0
rand_reset_10_times knapPI_13_200_1000_4 300000 5 0
rand_reset_10_times knapPI_13_200_1000_4 300000 6 0
rand_reset_10_times knapPI_13_200_1000_4 300000 7 0
rand_reset_10_times knapPI_13_200_1000_4 300000 8 0
rand_reset_10_times knapPI_13_200_1000_4 300000 9 0
rand_reset_10_times knapPI_13_200_1000_4 300000 10 0
rand_reset_10_times knapPI_13_200_1000_4 300000 11 0
rand_reset_10_times knapPI_13_200_1000_4 300000 12 0
rand_reset_10_times knapPI_13_200_1000_4 300000 13 0
rand_reset_10_times knapPI_13_200_1000_4 300000 14 0
rand_reset_10_times knapPI_13_200_1000_4 300000 15 0
rand_reset_10_times knapPI_13_200_1000_4 300000 16 0
rand_reset_10_times knapPI_13_200_1000_4 300000 17 0
rand_reset_10_times knapPI_13_200_1000_4 300000 18 0
rand_reset_10_times knapPI_13_200_1000_4 300000 19 0
rand_reset_10_times knapPI_13_200_1000_4 300000 20 0
rand_reset_10_times knapPI_13_200_1000_4 300000 21 0
rand_reset_10_times knapPI_13_200_1000_4 300000 22 0
rand_reset_10_times knapPI_13_200_1000_4 300000 23 0
rand_reset_10_times knapPI_13_200_1000_4 300000 24 0
rand_reset_10_times knapPI_13_200_1000_4 300000 25 0
rand_reset_10_times knapPI_13_200_1000_4 300000 26 0
rand_reset_10_times knapPI_13_200_1000_4 300000 27 0
rand_reset_10_times knapPI_13_200_1000_4 300000 28 0
rand_reset_10_times knapPI_13_200_1000_4 300000 29 0
rand_reset_10_times knapPI_16_200_1000_4 300000 0 0
rand_reset_10_times knapPI_16_200_1000_4 300000 1 0
rand_reset_10_times knapPI_16_200_1000_4 300000 2 0
rand_reset_10_times knapPI_16_200_1000_4 300000 3 0
rand_reset_10_times knapPI_16_200_1000_4 300000 4 0
rand_reset_10_times knapPI_16_200_1000_4 300000 5 0
rand_reset_10_times knapPI_16_200_1000_4 300000 6 0
rand_reset_10_times knapPI_16_200_1000_4 300000 7 0
rand_reset_10_times knapPI_16_200_1000_4 300000 8 0
rand_reset_10_times knapPI_16_200_1000_4 300000 9 0
rand_reset_10_times knapPI_16_200_1000_4 300000 10 0
rand_reset_10_times knapPI_16_200_1000_4 300000 11 0
rand_reset_10_times knapPI_16_200_1000_4 300000 12 0
rand_reset_10_times knapPI_16_200_1000_4 300000 13 0
rand_reset_10_times knapPI_16_200_1000_4 300000 14 0
rand_reset_10_times knapPI_16_200_1000_4 300000 15 0
rand_reset_10_times knapPI_16_200_1000_4 300000 16 0
rand_reset_10_times knapPI_16_200_1000_4 300000 17 0
rand_reset_10_times knapPI_16_200_1000_4 300000 18 0
rand_reset_10_times knapPI_16_200_1000_4 300000 19 0
rand_reset_10_times knapPI_16_200_1000_4 300000 20 0
rand_reset_10_times knapPI_16_200_1000_4 300000 21 0
rand_reset_10_times knapPI_16_200_1000_4 300000 22 0
rand_reset_10_times knapPI_16_200_1000_4 300000 23 0
rand_reset_10_times knapPI_16_200_1000_4 300000 24 0
rand_reset_10_times knapPI_16_200_1000_4 300000 25 0
rand_reset_10_times knapPI_16_200_1000_4 300000 26 0
rand_reset_10_times knapPI_16_200_1000_4 300000 27 0
rand_reset_10_times knapPI_16_200_1000_4 300000 28 0
rand_reset_10_times knapPI_16_200_1000_4 300000 29 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 0 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 1 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 2 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 3 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 4 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 5 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 6 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 7 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 8 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 9 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 10 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 11 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 12 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 13 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 14 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 15 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 16 0
rand_reset_10_times knapPI_16_1000_1000_3 300000 17 0
