Search_method Problem Max_evals Run Score
rand_reset_10_times knapPI_11_20_1000_4 100000 0 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 1 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 2 1440
rand_reset_10_times knapPI_11_20_1000_4 100000 3 1440
rand_reset_10_times knapPI_11_20_1000_4 100000 4 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 5 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 6 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 7 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 8 1440
rand_reset_10_times knapPI_11_20_1000_4 100000 9 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 10 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 11 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 12 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 13 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 14 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 15 1440
rand_reset_10_times knapPI_11_20_1000_4 100000 16 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 17 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 18 1440
rand_reset_10_times knapPI_11_20_1000_4 100000 19 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 20 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 21 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 22 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 23 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 24 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 25 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 26 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 27 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 28 1400
rand_reset_10_times knapPI_11_20_1000_4 100000 29 1400
rand_reset_10_times knapPI_13_20_1000_4 100000 0 907
rand_reset_10_times knapPI_13_20_1000_4 100000 1 907
rand_reset_10_times knapPI_13_20_1000_4 100000 2 889
rand_reset_10_times knapPI_13_20_1000_4 100000 3 907
rand_reset_10_times knapPI_13_20_1000_4 100000 4 907
rand_reset_10_times knapPI_13_20_1000_4 100000 5 907
rand_reset_10_times knapPI_13_20_1000_4 100000 6 889
rand_reset_10_times knapPI_13_20_1000_4 100000 7 889
rand_reset_10_times knapPI_13_20_1000_4 100000 8 889
