Search_method Problem Max_evals Run Score
rand_reset_10_times knapPI_11_20_1000_4 10000 0 1280
rand_reset_10_times knapPI_11_20_1000_4 10000 1 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 2 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 3 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 4 1320
rand_reset_10_times knapPI_11_20_1000_4 10000 5 1240
rand_reset_10_times knapPI_11_20_1000_4 10000 6 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 7 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 8 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 9 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 10 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 11 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 12 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 13 1320
rand_reset_10_times knapPI_11_20_1000_4 10000 14 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 15 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 16 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 17 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 18 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 19 1200
rand_reset_10_times knapPI_11_20_1000_4 10000 20 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 21 1320
rand_reset_10_times knapPI_11_20_1000_4 10000 22 1320
rand_reset_10_times knapPI_11_20_1000_4 10000 23 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 24 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 25 1240
rand_reset_10_times knapPI_11_20_1000_4 10000 26 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 27 1400
rand_reset_10_times knapPI_11_20_1000_4 10000 28 1360
rand_reset_10_times knapPI_11_20_1000_4 10000 29 1400
rand_reset_10_times knapPI_13_20_1000_4 10000 0 907
rand_reset_10_times knapPI_13_20_1000_4 10000 1 890
rand_reset_10_times knapPI_13_20_1000_4 10000 2 836
rand_reset_10_times knapPI_13_20_1000_4 10000 3 880
rand_reset_10_times knapPI_13_20_1000_4 10000 4 889
rand_reset_10_times knapPI_13_20_1000_4 10000 5 756
rand_reset_10_times knapPI_13_20_1000_4 10000 6 889
rand_reset_10_times knapPI_13_20_1000_4 10000 7 845
rand_reset_10_times knapPI_13_20_1000_4 10000 8 907
rand_reset_10_times knapPI_13_20_1000_4 10000 9 889
rand_reset_10_times knapPI_13_20_1000_4 10000 10 729
rand_reset_10_times knapPI_13_20_1000_4 10000 11 907
rand_reset_10_times knapPI_13_20_1000_4 10000 12 845
rand_reset_10_times knapPI_13_20_1000_4 10000 13 907
rand_reset_10_times knapPI_13_20_1000_4 10000 14 880
rand_reset_10_times knapPI_13_20_1000_4 10000 15 880
rand_reset_10_times knapPI_13_20_1000_4 10000 16 889
rand_reset_10_times knapPI_13_20_1000_4 10000 17 907
rand_reset_10_times knapPI_13_20_1000_4 10000 18 889
rand_reset_10_times knapPI_13_20_1000_4 10000 19 889
rand_reset_10_times knapPI_13_20_1000_4 10000 20 809
rand_reset_10_times knapPI_13_20_1000_4 10000 21 0
rand_reset_10_times knapPI_13_20_1000_4 10000 22 836
rand_reset_10_times knapPI_13_20_1000_4 10000 23 845
rand_reset_10_times knapPI_13_20_1000_4 10000 24 872
rand_reset_10_times knapPI_13_20_1000_4 10000 25 889
rand_reset_10_times knapPI_13_20_1000_4 10000 26 809
rand_reset_10_times knapPI_13_20_1000_4 10000 27 880
rand_reset_10_times knapPI_13_20_1000_4 10000 28 880
rand_reset_10_times knapPI_13_20_1000_4 10000 29 845
rand_reset_10_times knapPI_16_20_1000_4 10000 0 2532
rand_reset_10_times knapPI_16_20_1000_4 10000 1 2550
rand_reset_10_times knapPI_16_20_1000_4 10000 2 2575
rand_reset_10_times knapPI_16_20_1000_4 10000 3 0
rand_reset_10_times knapPI_16_20_1000_4 10000 4 2893
rand_reset_10_times knapPI_16_20_1000_4 10000 5 2267
rand_reset_10_times knapPI_16_20_1000_4 10000 6 2682
rand_reset_10_times knapPI_16_20_1000_4 10000 7 1829
rand_reset_10_times knapPI_16_20_1000_4 10000 8 2446
rand_reset_10_times knapPI_16_20_1000_4 10000 9 2099
rand_reset_10_times knapPI_16_20_1000_4 10000 10 2886
rand_reset_10_times knapPI_16_20_1000_4 10000 11 2557
rand_reset_10_times knapPI_16_20_1000_4 10000 12 2527
rand_reset_10_times knapPI_16_20_1000_4 10000 13 2675
rand_reset_10_times knapPI_16_20_1000_4 10000 14 0
rand_reset_10_times knapPI_16_20_1000_4 10000 15 2886
rand_reset_10_times knapPI_16_20_1000_4 10000 16 2033
rand_reset_10_times knapPI_16_20_1000_4 10000 17 2864
rand_reset_10_times knapPI_16_20_1000_4 10000 18 2505
rand_reset_10_times knapPI_16_20_1000_4 10000 19 2682
rand_reset_10_times knapPI_16_20_1000_4 10000 20 2664
rand_reset_10_times knapPI_16_20_1000_4 10000 21 2550
rand_reset_10_times knapPI_16_20_1000_4 10000 22 2527
rand_reset_10_times knapPI_16_20_1000_4 10000 23 2886
rand_reset_10_times knapPI_16_20_1000_4 10000 24 2044
rand_reset_10_times knapPI_16_20_1000_4 10000 25 2675
rand_reset_10_times knapPI_16_20_1000_4 10000 26 2593
rand_reset_10_times knapPI_16_20_1000_4 10000 27 2557
rand_reset_10_times knapPI_16_20_1000_4 10000 28 2575
rand_reset_10_times knapPI_16_20_1000_4 10000 29 2864
rand_reset_10_times knapPI_11_200_1000_4 10000 0 0
rand_reset_10_times knapPI_11_200_1000_4 10000 1 0
rand_reset_10_times knapPI_11_200_1000_4 10000 2 0
rand_reset_10_times knapPI_11_200_1000_4 10000 3 0
rand_reset_10_times knapPI_11_200_1000_4 10000 4 0
rand_reset_10_times knapPI_11_200_1000_4 10000 5 0
rand_reset_10_times knapPI_11_200_1000_4 10000 6 0
rand_reset_10_times knapPI_11_200_1000_4 10000 7 0
rand_reset_10_times knapPI_11_200_1000_4 10000 8 0
rand_reset_10_times knapPI_11_200_1000_4 10000 9 0
rand_reset_10_times knapPI_11_200_1000_4 10000 10 0
rand_reset_10_times knapPI_11_200_1000_4 10000 11 0
rand_reset_10_times knapPI_11_200_1000_4 10000 12 0
rand_reset_10_times knapPI_11_200_1000_4 10000 13 0
rand_reset_10_times knapPI_11_200_1000_4 10000 14 0
